id,name,name_part,provided_gnd
org_0130,geistliche > Benediktiner > Füssen - St. Mang,Füssen - St. Mang,
org_0131,geistliche > Prämonstratenser > Windberg,Windberg,http://d-nb.info/gnd/1051616-5
org_0132,geistliche > Zisterzienser > Aldersbach,Aldersbach,http://d-nb.info/gnd/1232399-8
org_0133,geistliche > Benediktiner > Bayerische Kongregation > Oberaltaich,Oberaltaich,http://d-nb.info/gnd/1029344493
org_0134,weltliche > München - Kurfürstliche Bibliothek,München - Kurfürstliche Bibliothek,
org_0135,geistliche > Augustiner-Chorherren > Beyharting,Beyharting,http://d-nb.info/gnd/4998318-0
org_0136,geistliche > Benediktiner > Bayerische Kongregation > Rott am Inn,Rott am Inn,http://d-nb.info/gnd/4278403-7
org_0137,geistliche > Benediktiner > Vornbach,Vornbach,http://d-nb.info/gnd/4314806-2
org_0138,geistliche > Benediktiner > Augsburg - St. Ulrich und Afra,Augsburg - St. Ulrich und Afra,
org_0139,geistliche > Säkularklerus > Augsburg - Domkapitel,Augsburg - Domkapitel,
org_0140,geistliche > Augustiner-Chorherren > Polling,Polling,http://d-nb.info/gnd/4273466-6
org_0141,geistliche > Benediktiner > Österreichische Kongregation > St. Lambrecht,St. Lambrecht,
org_0142,geistliche > Benediktiner > Bayerische Kongregation > Attel,Attel,http://d-nb.info/gnd/4249098-4
org_0143,geistliche > Benediktiner > Salzburgische Kongregation > Seeon,Seeon,http://d-nb.info/gnd/4329037-1
org_0144,geistliche > Benediktiner > Bayerische Kongregation > Scheyern,Scheyern,http://d-nb.info/gnd/2052902-8
org_0145,geistliche > Benediktiner > Irsee,Irsee,http://d-nb.info/gnd/4129308-3
org_0146,geistliche > Benediktiner > Metten,Metten,http://d-nb.info/gnd/1012970-4
org_0147,geistliche > Benediktiner > Österreichische Kongregation > Kremsmünster,Kremsmünster,http://d-nb.info/gnd/2046531-2
org_0148,geistliche > Zisterzienser > Clairvaux,Clairvaux,http://d-nb.info/gnd/3023813-4
org_0149,geistliche > Paulaner > Cosenza,Cosenza,http://d-nb.info/gnd/4729280-5
org_0150,geistliche > Säkularklerus > Rom - Papst,Rom - Papst,
